time_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,battery[V],last_motion[s]
50.04,2316,-866,17115,-58,67,6,0.00,0.55
49.98,4318,-2052,14259,-105,131,40,0.00,0.60
49.99,886,-2799,12272,-84,255,22,0.00,0.00
50.00,10092,-4184,25135,-165,35,-42,0.00,0.00
50.01,5608,-3047,19069,-158,156,-19,0.00,0.00
49.98,2562,-4715,16807,-117,84,-7,0.00,0.05
50.08,858,-851,16623,-78,36,-16,0.00,0.00
49.93,-1749,1324,16156,-27,-34,-12,0.00,0.00
49.99,-712,1132,16663,10,-90,-9,0.00,0.00
50.02,-2110,2097,18141,56,-96,-8,0.00,0.05
49.99,-1688,1985,16651,16,-94,-13,0.00,0.00
49.98,-1926,1740,17028,34,-44,-23,0.00,0.05
50.04,-2751,2083,16471,13,-9,-31,0.00,0.10
49.97,-3648,2787,16303,-17,-7,-41,0.00,0.15
50.03,-3369,2221,16522,5,-72,-38,0.00,0.20
49.97,-5372,3955,16162,88,-112,-11,0.00,0.25
50.00,-5171,5881,16296,96,-109,-4,0.00,0.30
50.06,-6153,6300,15282,65,-65,-19,0.00,0.35
49.96,-4678,5190,15596,21,23,-20,0.00,0.40
49.96,-1714,1165,14766,-53,43,7,0.00,0.45
50.04,-2053,300,17113,-9,10,15,0.00,0.00
49.99,443,-1858,16547,42,-47,12,0.00,0.05
49.98,339,-1760,20049,41,-12,4,0.00,0.10
50.01,2070,-198,13936,-11,-4,4,0.00,0.00
50.01,124,-62,19698,-6,110,-42,0.00,0.00
49.96,1845,-1693,14386,25,-87,20,0.00,0.00
50.03,1020,-230,17138,-16,-30,10,0.00,0.00
50.00,1367,-39,15657,-12,-22,13,0.00,0.05
49.99,-158,-562,15683,51,-70,11,0.00,0.10
50.07,1680,-1673,15180,86,-89,13,0.00,0.15
49.96,899,52,15829,27,-56,23,0.00,0.20
49.97,777,-872,16318,29,-24,14,0.00,0.25
50.03,-956,-1340,17779,32,-3,1,0.00,0.30
49.99,553,539,17023,37,-15,7,0.00,0.00
49.98,493,312,16957,8,-28,7,0.00,0.05
50.03,-600,67,16203,13,-19,8,0.00,0.10
49.98,-499,-77,16612,16,-23,7,0.00,0.15
49.99,31,-2287,15723,16,-1,1,0.00,0.20
50.00,-47,-93,17104,-14,34,2,0.00,0.25
50.03,1152,-818,14969,-29,39,3,0.00,0.30
49.98,594,-113,17298,-58,81,2,0.00,0.00
50.00,737,65,16487,-78,90,3,0.00,0.00
50.06,409,-859,17257,-75,66,-5,0.00,0.05
49.94,1933,-744,15952,-68,45,0,0.00,0.10
49.99,1211,-244,15960,-46,37,-3,0.00,0.15
50.03,1431,-56,16095,-35,41,-8,0.00,0.20
49.98,601,-711,15873,7,5,2,0.00,0.25
49.99,1007,-2415,16755,27,-21,5,0.00,0.30
50.03,1344,-519,17073,1,12,-2,0.00,0.35
49.98,891,-1174,16264,14,3,4,0.00,0.40
49.99,1629,-1865,16772,78,-49,7,0.00,0.45
50.01,2313,-2652,16877,75,-61,6,0.00,0.50
49.99,3799,-2559,16904,99,-70,7,0.00,0.55
50.00,3038,-2181,17554,143,-147,29,0.00,0.60
50.08,1923,-1265,14256,88,15,52,0.00,0.65
49.93,3197,-2393,17223,39,68,-6,0.00,0.00
49.99,2866,-3914,17027,-109,116,-17,0.00,0.00
50.03,-452,-5693,17029,-120,54,-12,0.00,0.05
49.99,-2337,2344,16333,-112,24,-35,0.00,0.10
49.98,-1137,1773,16636,-75,-26,-17,0.00,0.15
50.02,-1453,505,18650,-24,-59,-3,0.00,0.20
49.98,-540,796,16162,-64,-2,-6,0.00,0.00
50.00,-1911,1053,16246,-66,42,1,0.00,0.00
50.02,-3197,2102,15803,-75,55,6,0.00,0.05
49.99,-2642,2400,15972,-86,66,8,0.00,0.10
49.99,-2858,2668,16662,-70,29,18,0.00,0.15
50.08,-3446,4351,16536,-19,-40,43,0.00,0.20
49.93,-5066,5887,15594,23,-55,53,0.00,0.25
50.01,-6776,6912,15396,32,-81,37,0.00,0.30
49.98,-5354,4391,14861,22,-43,42,0.00,0.35
50.00,-2782,1437,13942,-15,-116,89,0.00,0.40
50.00,-2560,235,15645,-47,27,39,0.00,0.00
50.01,1582,-1588,17253,86,-79,48,0.00,0.05
49.98,3235,890,17574,124,-124,39,0.00,0.00
50.01,-359,-1179,17855,52,2,11,0.00,0.00
50.00,897,1292,18690,-27,20,21,0.00,0.05
49.98,4576,1912,17937,-27,-68,31,0.00,0.00
50.08,1118,-487,16601,-1,13,-1,0.00,0.05
49.94,497,127,16690,10,6,11,0.00,0.00
49.99,-625,-2360,12983,23,-7,7,0.00,0.05
50.01,269,-246,16231,55,-51,8,0.00,0.00
50.01,-226,-110,15367,80,-37,1,0.00,0.05
49.98,-485,-410,16301,77,-43,4,0.00,0.10
50.03,1218,461,16499,70,-38,-2,0.00,0.15
49.99,1486,688,16886,96,-80,1,0.00,0.20
49.98,194,-272,17757,84,-40,-5,0.00,0.25
50.03,-242,-596,17528,37,-41,7,0.00,0.00
49.99,722,519,17868,42,-67,16,0.00,0.05
49.99,-441,-377,17186,68,-68,8,0.00,0.10
49.99,615,-562,17764,78,-77,21,0.00,0.15
50.08,1180,-517,17354,-3,-3,8,0.00,0.20
49.93,309,-961,16407,-66,76,12,0.00,0.25
50.00,968,-1022,17227,-82,97,11,0.00,0.30
50.02,394,150,18056,-39,52,15,0.00,0.35
49.99,1134,-347,15403,-26,53,6,0.00,0.40
49.98,1733,-210,16996,-58,40,17,0.00,0.00
50.04,1198,-441,16521,-33,30,9,0.00,0.05
49.98,1785,-453,16984,2,-1,11,0.00,0.10
49.99,1559,-50,16534,-67,75,0,0.00,0.15
50.02,1145,-1161,16649,-98,88,7,0.00,0.20
49.99,2244,-1445,17009,-146,102,15,0.00,0.25
49.98,1244,-1445,17463,-149,136,4,0.00,0.30
50.08,2641,-1959,17644,-147,171,-3,0.00,0.35
49.94,658,-1893,17196,-100,192,-1,0.00,0.40
50.01,4047,-4256,15159,-13,205,-1,0.00,0.45
49.98,5339,-4123,17866,-135,116,-12,0.00,0.50
50.00,4614,-6210,19697,-172,134,-14,0.00,0.00
50.00,3207,-4734,15907,-120,85,-21,0.00,0.00
50.01,-1165,-1884,17132,-95,78,-17,0.00,0.00
49.98,-1515,1413,14832,-23,-23,-6,0.00,0.05
50.01,-2530,60,16293,129,-152,9,0.00,0.00
50.00,-1759,1395,16735,143,-229,19,0.00,0.05
49.98,-709,804,16438,156,-166,-2,0.00,0.10
50.08,-1959,2170,17205,120,-155,-9,0.00,0.15
49.95,-3218,2050,15863,80,-65,-27,0.00,0.20
49.97,-2965,2843,16422,44,-66,-27,0.00,0.25
50.04,-4590,3411,16161,85,-98,-20,0.00,0.30
49.98,-4274,3332,16515,120,-128,-11,0.00,0.35
49.99,-6609,4756,16618,68,-95,-13,0.00,0.40
50.01,-6296,5499,15430,32,-26,-30,0.00,0.00
50.01,-3964,3676,12926,-29,-6,-7,0.00,0.05
49.99,-2373,1823,16655,-84,41,-4,0.00,0.00
50.01,-1535,-671,16619,-63,58,-4,0.00,0.05
49.97,79,-42,17788,12,-10,1,0.00,0.10
50.08,990,-831,20881,56,-68,7,0.00,0.15
49.93,2603,-1977,16600,67,-23,-5,0.00,0.00
49.99,669,5523,20506,69,121,-65,0.00,0.00
50.01,1074,-3809,11890,-35,-54,16,0.00,0.00
50.02,1262,1490,17244,-21,3,-8,0.00,0.00
49.97,1342,-996,12862,-48,3,-14,0.00,0.05
50.01,667,-646,14679,-38,-12,2,0.00,0.00
50.01,-132,-945,15982,-33,33,-4,0.00,0.05
49.98,-405,-336,15196,-26,24,3,0.00,0.10
50.02,53,-449,16142,-15,28,-2,0.00,0.15
49.99,-40,99,16237,4,21,-4,0.00,0.20
49.99,-586,140,16573,4,14,-4,0.00,0.25
50.00,673,308,17263,54,-42,-2,0.00,0.30
50.08,18,650,16943,25,-2,-2,0.00,0.35
49.94,-88,-463,17621,-3,20,-5,0.00,0.40
49.99,290,-651,16706,-16,26,2,0.00,0.45
50.03,-273,-1547,16308,51,-24,3,0.00,0.50
49.98,-156,-701,16354,92,-61,0,0.00,0.55
49.98,78,720,17623,98,-21,-10,0.00,0.60
50.03,251,-1318,15355,12,9,-1,0.00,0.65
49.98,38,283,15147,17,9,1,0.00,0.00
49.99,2105,-121,16511,-10,17,10,0.00,0.05
50.02,1152,734,16297,-37,43,10,0.00,0.10
49.98,691,-1396,17010,-46,63,5,0.00,0.15
50.00,2021,-960,16679,-42,50,5,0.00,0.20
50.07,1118,-1691,17560,-25,51,7,0.00,0.25
49.94,1016,-1984,16589,-12,15,7,0.00,0.30
49.99,1564,-1871,17043,-27,69,7,0.00,0.35
50.02,1749,-1434,17948,-98,97,1,0.00,0.40
49.99,2461,-1507,16820,-116,115,18,0.00,0.45
49.98,2939,-5763,14521,-193,203,-3,0.00,0.50
50.02,4784,-4845,18103,-229,186,-9,0.00,0.00
50.00,8070,-772,18538,-261,189,-31,0.00,0.00
49.97,4125,-2610,18322,-249,211,-37,0.00,0.00
50.04,336,166,15419,-188,102,-34,0.00,0.05
49.98,-1258,3943,17543,11,-43,-1,0.00,0.00
50.00,-1449,4273,17791,77,-125,-3,0.00,0.05
50.06,-306,43,17285,124,-200,0,0.00,0.10
49.96,-1003,917,17154,202,-191,-3,0.00,0.15
50.00,-1623,1808,15720,182,-222,-4,0.00,0.20
49.98,-3742,2702,15886,162,-126,-19,0.00,0.00
49.99,-2671,2312,16951,133,-91,-15,0.00,0.05
50.02,-2928,1445,16935,96,-105,4,0.00,0.10
49.98,-5677,4805,15159,95,-88,-21,0.00,0.15
50.00,-4611,4025,17375,27,-37,3,0.00,0.20
50.01,-5452,5601,16739,-62,19,11,0.00,0.00
50.01,-5150,4511,15541,-86,27,15,0.00,0.05
49.97,-3189,2678,13319,-95,18,12,0.00,0.10
50.09,470,1063,18215,-15,-102,73,0.00,0.00
49.93,-842,79,16327,40,-40,22,0.00,0.00
49.99,2631,-1273,16418,38,-54,27,0.00,0.05
50.02,1558,-3169,17171,108,-58,2,0.00,0.10
49.99,-1257,-4646,15529,61,127,-19,0.00,0.15
49.98,-1361,110,17534,32,-36,11,0.00,0.20
50.04,178,-2948,15774,-30,87,6,0.00,0.25
49.98,3037,298,16760,-23,4,10,0.00,0.30
49.98,-1402,206,18776,38,28,12,0.00,0.35
50.02,1383,140,12625,33,7,4,0.00,0.00
49.99,-440,1362,15161,30,31,-4,0.00,0.00
49.99,-1160,-1634,14598,48,13,-3,0.00,0.05
50.07,-229,182,17104,27,-26,11,0.00,0.10
49.95,1334,-49,16411,26,-28,15,0.00,0.00
49.98,1753,-548,16515,27,-6,8,0.00,0.05
50.03,1322,-239,17745,43,-61,11,0.00,0.10
49.98,-25,-70,16775,28,-20,5,0.00,0.00
49.98,442,-486,16779,66,-54,14,0.00,0.05
50.04,-161,-673,17301,87,-46,11,0.00,0.10
49.98,85,368,17288,80,-43,14,0.00,0.15
49.98,697,414,17787,31,0,14,0.00,0.20
50.03,700,-334,16886,-26,37,22,0.00,0.25
49.99,-326,-1005,15968,-22,40,15,0.00,0.30
49.99,-774,27,16274,-23,61,6,0.00,0.35
50.07,-408,-9,17330,-18,41,2,0.00,0.40
49.94,943,-915,16369,-11,24,8,0.00,0.45
853.47,1417,-277,16756,-10,33,4,0.00,0.50
3.94,1643,-754,17100,-43,44,12,0.00,1.35
3.78,1616,-1439,16280,-68,73,10,0.00,1.36
3.61,1467,-851,16743,-96,94,10,0.00,1.36
3.73,1418,-664,16645,-129,122,9,0.00,1.36
3.68,1061,-1949,15366,-175,164,24,0.00,1.37
3.61,1577,-1884,17569,-130,186,0,0.00,1.37
3.68,2456,-2260,16959,-92,182,-30,0.00,0.00
3.69,2583,-254,15488,-162,164,-31,0.00,0.00
3.67,5228,-2230,13454,-141,105,-12,0.00,0.00
13.54,3721,-6011,15834,-163,141,-10,0.00,0.00
49.97,3483,-4370,16144,-173,128,-22,0.00,0.00
49.97,3787,-810,18591,-136,33,-19,0.00,0.05
50.01,285,2107,16272,-6,-55,-10,0.00,0.00
50.00,-827,2935,16072,52,-123,-16,0.00,0.05
49.97,-596,1099,16541,118,-162,7,0.00,0.10
50.04,-1484,907,17216,202,-193,-5,0.00,0.15
49.98,-3081,2166,17200,154,-174,-21,0.00,0.20
50.00,-2246,1116,16170,90,-74,-30,0.00,0.25
50.02,-3846,2152,15475,45,-32,-33,0.00,0.30
49.98,-4841,3573,15910,66,-72,-40,0.00,0.35
50.08,-4779,3730,16817,99,-103,-33,0.00,0.40
49.93,-4321,5228,17007,69,-69,-21,0.00,0.45
49.97,-6424,6786,16161,0,-30,-14,0.00,0.50
50.04,-4414,3175,16201,-61,-14,-9,0.00,0.55
49.98,-2977,2328,13960,-12,-43,-5,0.00,0.60
49.99,-1605,733,16513,76,-88,-3,0.00,0.00
50.02,-695,-92,16639,108,-99,-5,0.00,0.05
49.98,2750,-1362,19039,47,-13,-3,0.00,0.10
49.99,694,-1492,18883,39,22,1,0.00,0.00
50.03,347,-1267,16718,122,-140,18,0.00,0.00
49.99,-1321,226,18591,87,-42,-6,0.00,0.00
49.99,-1666,-2148,19083,41,-3,-17,0.00,0.05
50.08,1160,-37,17913,7,-3,-4,0.00,0.00
49.94,539,405,15598,-26,0,-4,0.00,0.05
49.97,-450,-621,15326,-2,15,-10,0.00,0.00
50.02,-297,-1068,15074,28,6,-11,0.00,0.00
49.99,-170,-1757,15687,21,-12,-2,0.00,0.00
50.00,151,-110,16849,15,3,-3,0.00,0.05
50.02,237,-1228,16914,-23,2,11,0.00,0.10
49.98,1129,-2494,16289,-37,23,4,0.00,0.15
49.99,1367,330,17512,-57,70,-3,0.00,0.20
50.02,819,-327,17645,-60,54,-3,0.00,0.25
49.99,1168,-4,16815,-93,79,-10,0.00,0.30
50.00,1300,514,16397,-43,22,-5,0.00,0.35
50.08,646,46,16444,-25,15,-7,0.00,0.40
49.92,1211,-537,16316,-22,5,-8,0.00,0.45
49.98,352,781,17693,13,-4,-10,0.00,0.50
50.04,1448,265,16695,-29,9,-2,0.00,0.55
49.98,187,-75,17500,-27,44,-8,0.00,0.60
50.00,592,271,17027,3,21,-8,0.00,0.65
49.99,-836,561,18271,52,30,-21,0.00,0.70
50.04,1274,-2063,16384,63,-39,-11,0.00,0.75
49.98,444,-111,17698,78,-22,-13,0.00,0.80
49.99,983,-554,16454,61,-58,0,0.00,0.85
50.01,1238,-286,16713,67,-38,0,0.00,0.90
50.00,1057,-943,17318,60,-34,2,0.00,0.95
49.99,1195,-977,16337,29,-6,1,0.00,1.00
50.08,1465,-1241,16944,21,30,7,0.00,1.05
49.97,2640,-1537,15058,187,214,109,0.00,1.10
49.96,6148,-2121,17019,77,-75,24,0.00,0.00
50.02,4416,-3438,16320,110,-94,15,0.00,0.00
50.00,4597,-2472,18285,82,-75,11,0.00,0.05
49.99,4197,-2953,18165,81,-109,7,0.00,0.00
50.01,2027,-3817,17790,87,-92,12,0.00,0.05
49.97,-2787,3905,17636,-71,26,-44,0.00,0.10
50.04,-1196,643,16662,-210,74,-58,0.00,0.15
49.97,-3124,1791,18351,-233,135,-52,0.00,0.00
50.00,-268,450,17747,-187,115,-33,0.00,0.05
50.08,-2360,3080,17123,-98,49,-27,0.00,0.10
49.92,-1348,1258,15766,-61,22,-32,0.00,0.15
49.98,-3592,2973,16001,-97,52,-36,0.00,0.00
50.04,-4561,3536,16186,-132,81,-44,0.00,0.05
49.98,-4661,4251,15064,-117,37,-37,0.00,0.10
49.98,-4832,5460,15524,20,-34,-14,0.00,0.15
50.02,-5991,6813,14676,49,-16,-26,0.00,0.20
49.99,-5028,4493,14629,65,-27,-20,0.00,0.25
49.99,-2700,2432,13489,111,-399,147,0.00,0.30
50.02,-1222,313,14331,-20,-16,32,0.00,0.00
50.00,-1928,140,17772,11,23,-1,0.00,0.05
49.98,3036,-1509,17994,9,-46,30,0.00,0.00
50.07,2938,-1837,20855,98,-127,25,0.00,0.00
49.96,-17,-3481,12458,83,30,5,0.00,0.00
49.96,-2528,-1860,16220,169,-113,1,0.00,0.00
50.03,-1642,-1612,14261,67,-35,-1,0.00,0.05
49.98,-214,883,16126,13,28,-15,0.00,0.00
50.02,132,6,17263,-1,40,-17,0.00,0.05
49.98,830,-1219,15107,-36,16,7,0.00,0.00
50.00,1082,-1389,15438,-29,3,12,0.00,0.00
50.01,-548,-1182,16066,-12,25,4,0.00,0.05
50.00,-874,-505,16741,-10,37,-4,0.00,0.10
49.99,204,-587,16367,-25,46,-2,0.00,0.15
50.08,171,81,16460,12,1,3,0.00,0.20
49.96,-746,-509,16742,1,-8,7,0.00,0.25
49.96,-180,-442,16610,-32,17,4,0.00,0.30
50.00,639,-2125,16145,-43,27,0,0.00,0.35
50.04,475,-640,16603,-84,79,2,0.00,0.40
49.98,4137,-982,14898,-63,-7,27,0.00,0.45
50.00,583,-1006,16835,-75,73,2,0.00,0.50
50.01,1447,-777,16596,-60,54,4,0.00,0.55
49.99,1373,152,15703,-14,48,-1,0.00,0.60
49.99,-2,-1158,15831,64,-23,2,0.00,0.65
50.02,-347,-847,17349,132,-89,3,0.00,0.70
49.98,-215,-1784,14856,124,-68,-5,0.00,0.00
50.00,908,-358,15797,87,-98,14,0.00,0.00
50.09,1489,-2318,16059,79,-82,18,0.00,0.05
49.93,1076,-775,15522,-24,34,15,0.00,0.10
49.97,706,-1425,16881,-73,77,7,0.00,0.15
50.04,2213,-2391,17524,-102,108,2,0.00,0.20
49.98,1265,-1710,17290,-136,118,4,0.00,0.00
50.00,2411,-2215,17416,-118,107,1,0.00,0.05
50.01,2523,-2127,16045,-67,145,11,0.00,0.10
50.00,1601,-2684,19531,36,-4,1,0.00,0.15
49.98,3639,-4270,16310,67,-48,3,0.00,0.00
50.03,4600,-2529,18050,100,-90,2,0.00,0.05
49.97,3636,-2983,16892,56,-48,-5,0.00,0.10
50.07,1808,-571,16424,-22,-8,-15,0.00,0.15
49.97,-2190,-563,16228,-46,-18,-25,0.00,0.00
49.97,-781,1365,15606,-42,-17,-22,0.00,0.05
50.00,-1336,2307,16527,4,-62,-14,0.00,0.00
50.01,-1655,716,17298,26,-74,-10,0.00,0.05
49.98,-2155,1794,16652,24,-51,-5,0.00,0.10
50.03,-1598,1148,16667,24,-65,3,0.00,0.15
49.98,-1771,659,17265,0,-21,3,0.00,0.20
50.00,-1993,1299,16474,-16,-36,11,0.00,0.25
50.01,-3917,3065,15985,7,-27,10,0.00,0.30
50.00,-4907,3761,16106,31,-44,10,0.00,0.35
49.99,-4854,4351,15375,5,-42,13,0.00,0.40
50.07,-3722,3295,16122,-60,23,10,0.00,0.45
49.96,-3057,2655,15346,-94,53,10,0.00,0.50
49.97,-1150,446,15858,-65,43,16,0.00,0.55
50.01,-1871,81,16299,16,3,4,0.00,0.60
50.00,1096,-2499,17102,66,-57,18,0.00,0.65
49.98,-621,1578,18733,42,40,-8,0.00,0.70
50.01,-2807,-1161,17964,90,-32,5,0.00,0.00
50.01,1538,-6593,13407,16,-141,42,0.00,0.05
49.98,-68,2705,20603,148,-142,19,0.00,0.00
50.02,924,-1037,13872,69,-38,3,0.00,0.00
50.00,1100,-1565,16341,53,-74,16,0.00,0.00
49.98,1017,487,16748,24,-27,9,0.00,0.05
50.07,-1646,-659,16382,25,19,5,0.00,0.10
49.96,344,-989,15379,-7,0,16,0.00,0.15
49.96,1293,550,17432,-4,-8,19,0.00,0.20
50.02,65,-1059,15837,4,11,11,0.00,0.00
50.00,-851,252,16314,-21,24,10,0.00,0.05
49.98,-2791,-3192,17008,-90,154,-8,0.00,0.10
50.04,-1165,-1413,15767,-33,36,16,0.00,0.15
49.98,-1458,-1887,17316,-6,15,8,0.00,0.20
50.00,-802,1059,15890,16,-2,13,0.00,0.25
50.02,421,52,17088,22,-43,19,0.00,0.30
49.99,1780,-1614,16252,21,-36,18,0.00,0.35
49.99,585,-132,15434,13,-25,17,0.00,0.40
50.08,-202,1021,17775,30,-16,9,0.00,0.45
49.95,-1296,-387,16440,29,-7,4,0.00,0.00
49.98,390,617,16396,7,8,6,0.00,0.05
50.01,-398,-245,16881,-40,54,12,0.00,0.10
50.00,-46,-665,15752,-78,68,10,0.00,0.15
49.98,1112,-1211,16841,-127,91,17,0.00,0.20
50.04,1474,-750,15590,-112,95,12,0.00,0.25
49.98,1605,-1432,16567,-98,86,9,0.00,0.30
50.00,1309,-1008,16464,-67,72,8,0.00,0.35
50.02,1795,-582,16083,-50,69,-3,0.00,0.40
49.99,1647,-743,17374,-60,70,-6,0.00,0.45
49.98,1920,-1169,17103,-76,86,-10,0.00,0.50
50.09,1348,-1200,16315,-57,67,-5,0.00,0.55
49.95,2092,-2121,16530,35,-33,10,0.00,0.60
49.96,2078,-1841,17758,174,-41,20,0.00,0.65
50.03,2107,-639,13581,151,-136,24,0.00,0.70
49.98,4091,-2528,15893,130,-106,17,0.00,0.00
49.98,5574,718,19650,77,-61,6,0.00,0.05
50.03,5141,-3000,20079,-24,6,-11,0.00,0.00
49.99,794,-1395,17926,-88,44,-22,0.00,0.00
49.99,-1458,795,16326,-47,-10,-30,0.00,0.05
50.01,-2103,1917,16701,1,-71,-17,0.00,0.00
50.01,-1891,1537,16931,25,-95,-14,0.00,0.05
49.97,-871,881,15991,-33,-36,-14,0.00,0.10
50.07,-1532,1065,15872,-49,-5,-10,0.00,0.00
49.97,-2753,1330,15938,-42,3,-16,0.00,0.05
49.97,-3138,1766,15945,4,-12,-9,0.00,0.10
50.01,-3347,3028,16040,18,-8,-12,0.00,0.15
50.00,-4630,3743,15621,3,-42,-18,0.00,0.20
49.98,-4291,3655,16848,-7,-32,2,0.00,0.25
50.04,-6989,6657,15460,-19,-22,3,0.00,0.30
49.98,-5693,4709,15627,-48,19,-10,0.00,0.35
50.02,-3325,2339,16014,-66,45,-18,0.00,0.40
49.98,-1118,313,15385,-9,-25,10,0.00,0.45
49.99,-2237,1230,18210,41,-16,-1,0.00,0.00
50.07,1029,-2049,17749,41,-43,14,0.00,0.00
49.96,2894,-1726,12887,42,-38,52,0.00,0.05
49.96,-753,-4893,16081,64,33,-13,0.00,0.00
50.04,328,-690,16781,105,-143,12,0.00,0.05
49.98,-368,-4017,18322,24,-8,-27,0.00,0.10
50.00,282,-2028,16192,-11,6,-10,0.00,0.00
50.01,457,584,15162,-41,44,-10,0.00,0.05
50.00,1669,-36,14633,-38,0,6,0.00,0.00
49.97,333,-1187,15668,20,-13,12,0.00,0.00
50.04,609,-921,15590,39,-26,16,0.00,0.05
49.98,1167,-257,17031,72,-37,9,0.00,0.10
49.99,-1391,507,16588,34,33,5,0.00,0.00
50.08,-434,-977,17799,4,27,-2,0.00,0.05
49.94,953,-74,16988,-16,7,4,0.00,0.00
49.98,344,-161,17396,5,-10,3,0.00,0.05
50.00,759,291,16013,-6,-25,4,0.00,0.10
50.01,1469,-255,17205,4,-37,5,0.00,0.15
50.00,-238,287,16849,4,4,-3,0.00,0.20
49.98,-1041,-429,18267,31,-3,-4,0.00,0.25
50.03,477,-295,15829,2,4,-1,0.00,0.00
50.00,990,-41,16222,7,2,2,0.00,0.00
49.99,89,-648,16453,-14,39,4,0.00,0.05
50.14,-297,-438,17235,-26,57,0,0.00,0.10
49.85,673,-1362,16238,-27,20,7,0.00,0.15
50.02,1118,-1094,16448,-30,28,2,0.00,0.20
50.07,1202,-207,16160,-41,61,-3,0.00,0.25
49.97,683,-413,16953,-39,49,-9,0.00,0.30
49.95,1565,-665,16887,-42,42,1,0.00,0.35
50.04,1050,-1025,16008,-38,35,7,0.00,0.40
49.97,1017,-381,17326,-15,-2,14,0.00,0.45
50.01,2751,-1216,16757,18,-46,17,0.00,0.50
50.01,1262,252,17268,64,-59,10,0.00,0.55
49.99,1706,-1886,16493,65,-42,6,0.00,0.60
49.98,2651,-2225,17190,60,-22,3,0.00,0.65
50.04,1164,-2421,17751,94,150,46,0.00,0.70
49.97,2737,-1962,18280,74,-46,8,0.00,0.75
50.00,4293,-3254,16126,63,-53,11,0.00,0.80
50.07,4016,-2698,18887,28,-35,3,0.00,0.85
49.97,2914,-3616,18024,-9,-12,0,0.00,0.00
49.96,1025,-165,15434,-66,12,-14,0.00,0.05
50.02,-3437,-176,15877,-151,129,-43,0.00,0.00
50.00,-1675,2449,18663,-98,25,-31,0.00,0.05
49.99,-1839,1394,16158,-53,-9,-27,0.00,0.00
50.01,-2402,754,18075,-6,-21,-23,0.00,0.00
50.02,-921,193,15750,25,-40,-18,0.00,0.05
49.96,-219,793,16318,44,-71,-12,0.00,0.00
50.04,-1465,246,15893,40,-33,-4,0.00,0.05
49.96,-1595,1533,16480,-28,7,-8,0.00,0.10
50.00,-2250,2013,16981,-65,38,-4,0.00,0.15
50.07,-2696,2424,15972,-78,46,-3,0.00,0.20
49.97,-2831,3130,16330,-87,51,-8,0.00,0.25
49.95,-2964,2898,16310,-93,51,-8,0.00,0.30
50.04,-2820,1991,15811,-73,37,-9,0.00,0.35
49.98,-2813,1920,15435,8,-32,-3,0.00,0.40
50.02,-1735,2138,16308,68,-77,-2,0.00,0.45
49.98,-1379,1306,16709,92,-79,7,0.00,0.50
50.00,-159,715,16787,53,-76,20,0.00,0.55
50.01,404,325,17757,-17,37,13,0.00,0.60
49.99,1697,344,16814,-52,35,14,0.00,0.65
49.99,-349,-58,17862,-22,25,11,0.00,0.70
50.00,-2140,1963,17806,-32,74,-9,0.00,0.75
50.07,742,614,16725,-9,30,0,0.00,0.80
49.97,86,-1666,15227,-9,-9,16,0.00,0.85
49.96,-401,-850,15462,10,22,1,0.00,0.00
50.04,306,-515,15733,51,-21,2,0.00,0.05
49.97,110,-211,16495,62,-31,2,0.00,0.10
50.01,18,-324,16482,44,-26,4,0.00,0.15
50.01,219,-396,16803,27,-23,5,0.00,0.20
49.99,499,-1044,17528,-8,0,-4,0.00,0.25
49.98,-139,-327,16168,-43,46,-12,0.00,0.30
50.04,915,282,17198,-40,16,-1,0.00,0.35
49.97,-325,568,16918,-29,19,4,0.00,0.40
50.00,-259,257,16975,-11,1,11,0.00,0.45
50.07,-440,315,16888,-2,-1,14,0.00,0.50
49.97,-855,296,16451,16,-15,17,0.00,0.55
49.96,-701,-120,16705,22,-10,13,0.00,0.60
50.04,-431,-265,16373,-7,6,14,0.00,0.65
49.97,193,-33,16893,-29,34,11,0.00,0.70
50.01,462,-600,16683,-12,28,1,0.00,0.75
50.00,88,-266,16671,5,15,-1,0.00,0.80
50.01,88,-364,16734,24,-2,0,0.00,0.85
49.98,133,21,15822,51,-6,-7,0.00,0.90
50.04,-951,-862,16640,59,-8,-11,0.00,0.95
49.96,-334,44,15527,44,-24,-3,0.00,1.00
50.02,1683,-169,16872,16,-12,0,0.00,1.05
50.05,777,-625,16240,15,16,-7,0.00,1.10
49.98,576,-1239,16059,44,-22,-3,0.00,1.15
49.94,1220,-179,15728,39,-18,1,0.00,1.20
50.04,1510,-871,16865,25,-6,-1,0.00,1.25
49.97,1806,-893,17208,-3,8,2,0.00,1.30
50.01,4428,2390,16494,-59,38,4,0.00,1.35
49.97,2590,-2521,16789,-50,32,7,0.00,1.40
50.05,2078,-2537,15078,21,124,39,0.00,1.45
49.96,2214,-2241,16116,-1,8,-5,0.00,0.00
50.01,3972,-2499,17696,61,-55,1,0.00,0.05
50.00,3749,-2598,17509,87,-77,-3,0.00,0.00
50.02,-675,-2332,16885,103,-79,-5,0.00,0.05
50.04,-1099,1290,15590,64,-72,-6,0.00,0.10
49.97,-2315,79,17098,57,-86,-11,0.00,0.00
49.96,-1374,50,17337,14,-49,-23,0.00,0.05
50.04,-1499,1773,16770,-8,-38,-16,0.00,0.10
49.97,-1680,1465,16605,-4,-32,-6,0.00,0.15
